"HITID","Food","Worker1","Answer1","Worker2","Answer2","Agreement","Answer","Date"
"215QY2RCJK6309D39NRK2IAQBS2U50","muchisimas","A2BERTY629PZDT","Unknown","A3O8XRFS9GCDMH","Unknown","Yes","Unknown ","Tue Sep 11 19:04:29 UTC 2012"
"2YQ8MQU6L5OBWQH1JTO4IIJF9PCDWR","otro","A2HAIY6HUOISQY","Unknown","A2HM35CWB7IIFM","Unknown","Yes","Unknown ","Tue Sep 11 15:50:34 UTC 2012"
"25TDDP8PJWKUER7XE7UQB9Z0DFC6HS","protein shake","A1K9WP8Q74E9G2","Beverages","A2HM35CWB7IIFM","Beverages","Yes","Beverages","Tue Sep 11 16:41:19 UTC 2012"
"2ZO2NJQ2172ZANPHY7BLKVEBWAKXPH","lasagna","A1IV0802ICNA0A","Cereal Grains and Pasta","A2HM35CWB7IIFM","Cereal Grains and Pasta","Yes","Cereal Grains and Pasta","Tue Sep 11 17:35:40 UTC 2012"
"248Y2RCJK63ZWS2HJWBUQAQ9LUO6VJ","coffee","A1K9WP8Q74E9G2","Beverages","A2HM35CWB7IIFM","Beverages","Yes","Beverages","Tue Sep 11 16:39:13 UTC 2012"
"2DJVP9746OQ1T1PQZMX7851QML5L1G","protein water","A2FCGEU5RTEWG8","Beverages","A2HM35CWB7IIFM","Beverages","Yes","Beverages","Tue Sep 11 17:52:40 UTC 2012"
"244HGYQ4J3NACKAFEB6O6YIT321OBJ","almonds","A2HAIY6HUOISQY","Meat and Protein","A2HM35CWB7IIFM","Meat and Protein","Yes","Meat and Protein","Tue Sep 11 18:26:33 UTC 2012"
"2P1VCNHMVHVKDXZ1TGT7CJ79MZE31K","juice with carrot and orange","A2HAIY6HUOISQY","Beverages","A2UFD1I8ZO1V4G","Beverages","Yes","Beverages","Tue Sep 11 17:39:19 UTC 2012"
"22IXULRGNTBJ40LDP16PFN62MQU6SE","chard with wheat and yogurt","A2HM35CWB7IIFM","Vegetables","A2UFD1I8ZO1V4G","Vegetables","Yes","Vegetables","Tue Sep 11 18:10:00 UTC 2012"
"204JUNU8LZ6R8EF5J5ZDGJ3VGGEJ34","pizza: cheese","A2HAIY6HUOISQY","Fast-foods","A2HM35CWB7IIFM","Fast-foods","Yes","Fast-foods","Tue Sep 11 18:28:05 UTC 2012"
"2N6Q1SNQQ7Q68E41IG3NZ12TSLJ8S1","water","A2HAIY6HUOISQY","Beverages","A2V3P1XE33NYC3","Beverages","Yes","Beverages","Tue Sep 11 16:31:05 UTC 2012"
"21K74J79KQW62MM4YQOFKD45ZLWHJ9","sprite","A2HAIY6HUOISQY","Beverages","A2HM35CWB7IIFM","Beverages","Yes","Beverages","Tue Sep 11 15:57:57 UTC 2012"
"207PSI2KYEPLT365CHD64J3OCQ7SM8","green apple","A2HM35CWB7IIFM","Fruits","A2V3P1XE33NYC3","Fruits","Yes","Fruits","Tue Sep 11 16:09:29 UTC 2012"
"218W618N46UXGQC4XT3E1NDSP22QOX","spinach","A2HAIY6HUOISQY","Vegetables","A2HM35CWB7IIFM","Vegetables","Yes","Vegetables","Tue Sep 11 16:00:31 UTC 2012"
"2902KYEPLSP76YKMYSA3WAHQGZDVPD","oatmeal","A2HAIY6HUOISQY","Cereal Grains and Pasta","A2HM35CWB7IIFM","Cereal Grains and Pasta","Yes","Cereal Grains and Pasta","Tue Sep 11 16:32:51 UTC 2012"
"23I5BMJTUHYW3USP1N1705WM3FRHMD","chicken breast mashed  potato  juice","A2HM35CWB7IIFM","Meat and Protein","A3NU1SQPI1NXY4","Meat and Protein","Yes","Meat and Protein","Tue Sep 11 18:06:51 UTC 2012"
"2X6OGQSCM6IABGREAQLU80OQMTSHH4","michelada","A1KAXCLAH6UVMS","Beverages","A2HM35CWB7IIFM","Beverages","Yes","Beverages","Tue Sep 11 16:51:35 UTC 2012"
"29DGULF395SW71F17OUN6NJB0OJQC0","croissant","A2HAIY6HUOISQY","Grains","A2HM35CWB7IIFM","Grains","Yes","Grains","Tue Sep 11 16:32:20 UTC 2012"
"2CEAVKI62NJQ3F62R50QP6BKNLDKSW","ddd","A2HM35CWB7IIFM","Unknown","A2RPXVZF0CCRE4","Unknown","Yes","Unknown ","Tue Sep 11 16:38:28 UTC 2012"
"25LW5XH0JPPSJGJY6LCSX75KNVOLFH","coffee","A1KAXCLAH6UVMS","Beverages","A2HM35CWB7IIFM","Beverages","Yes","Beverages","Tue Sep 11 17:01:08 UTC 2012"
"2UCCF806UFBNG6UGMH63H5SW8WY0E5","baked ribs","A2HAIY6HUOISQY","Meat and Protein","A3NU1SQPI1NXY4","Meat and Protein","Yes","Meat and Protein","Tue Sep 11 15:59:25 UTC 2012"
"248YN5F3Q0JG67XMF8NYJ49FB1ABFK","coffee","A2HM35CWB7IIFM","Beverages","A6WUFL0T08JBZ","Beverages","Yes","Beverages","Tue Sep 11 16:57:36 UTC 2012"
"2UCCF806UFBNG6UGMH63H5SW8WYE0J","coffee","A2HM35CWB7IIFM","Beverages","A6WUFL0T08JBZ","Beverages","Yes","Beverages","Tue Sep 11 16:58:25 UTC 2012"
"2Y7CGJ2D21O3XJWHSFGP0I2K0N76CJ","coffee","A2HM35CWB7IIFM","Beverages","A53VNQRRFQ785","Beverages","Yes","Beverages","Tue Sep 11 17:35:07 UTC 2012"
"2KE5XH0JPPSI3YXEHHJPF5KLOFEGMD","otra cosa","A2HM35CWB7IIFM","Unknown","A2UFD1I8ZO1V4G","Unknown","Yes","Unknown ","Tue Sep 11 18:41:06 UTC 2012"
"22X395SW6NG1G62NQJAB6F1F11HGU5","coffee","A2HAIY6HUOISQY","Beverages","A2HM35CWB7IIFM","Beverages","Yes","Beverages","Tue Sep 11 16:06:07 UTC 2012"
"2QFBNVP3TVOK68EJXXP7YEOZH7803E","example","A1K9WP8Q74E9G2","Unknown","A2HM35CWB7IIFM","Unknown","Yes","Unknown ","Tue Sep 11 17:08:35 UTC 2012"
"24NF3Q0JG5TYN1BWQ7V9N9SSUQFEIE","tomato","A1KAXCLAH6UVMS","Fruits","A2HM35CWB7IIFM","Fruits","Yes","Fruits","Tue Sep 11 17:00:52 UTC 2012"
"2EF2Q45UUKQOZUMIOXESGOG039OUC8","tomato and green onion salad","A1IV0802ICNA0A","Vegetables","A2HM35CWB7IIFM","Vegetables","Yes","Vegetables","Tue Sep 11 17:59:32 UTC 2012"
"2B3F395SW6NG2TR3FUEJJYF1H8ATFS","beer","A2HAIY6HUOISQY","Beverages","A53VNQRRFQ785","Beverages","Yes","Beverages","Tue Sep 11 17:07:58 UTC 2012"
"22QI9NZW6HEZ72D4ISYTG69GWVKNXC","banana","A2HAIY6HUOISQY","Fruits","A2HM35CWB7IIFM","Fruits","Yes","Fruits","Tue Sep 11 16:57:15 UTC 2012"
"2C6K5UFJ51Y7RSNZ7UHS9CSTOXX8B0","potatoes with blue cheese and green onions","A2ELWPBL46UA0E","Vegetables","A2HM35CWB7IIFM","Vegetables","Yes","Vegetables","Tue Sep 11 18:00:53 UTC 2012"
"2JVIPDOBDDP8QXVKM9485MB3SCS1CH","potatoes and cheese","A2BERTY629PZDT","Vegetables","A2HM35CWB7IIFM","Vegetables","Yes","Vegetables","Tue Sep 11 17:51:47 UTC 2012"
"2X2CCVLL3CA340GAHMVCHNQU96EY84","almond","A2HAIY6HUOISQY","Meat and Protein","A2HM35CWB7IIFM","Meat and Protein","Yes","Meat and Protein","Tue Sep 11 16:06:25 UTC 2012"
"24M6UXFCD45XDSSN5OETSIN3VP6UWH","chocolate milk","A17B7QTKWFQ5PQ","Beverages","A2HM35CWB7IIFM","Beverages","Yes","Beverages","Tue Sep 11 16:50:45 UTC 2012"
"29E6NG1FS3NYOXAY7X6Z0ZL2Z0ILZ5","scrotum","A2HM35CWB7IIFM","Unknown","A2V3P1XE33NYC3","Unknown","Yes","Unknown ","Tue Sep 11 16:31:13 UTC 2012"
"2KZVWAVKI62NK411ZYQ9HQH6DT3QI2","French fries","A2HM35CWB7IIFM","Fast-foods","A2UFD1I8ZO1V4G","Fast-foods","Yes","Fast-foods","Tue Sep 11 17:39:22 UTC 2012"
"2X7GSNTL0XULSUMT3FUMUDX5HYPM0G","brown rice","A2HM35CWB7IIFM","Grains","A3NU1SQPI1NXY4","Grains","Yes","Grains","Tue Sep 11 18:19:28 UTC 2012"
"2ECLRGNTBJ3MNRW57LYNE2KHDI3U82","coffee","A2HAIY6HUOISQY","Beverages","A2HM35CWB7IIFM","Beverages","Yes","Beverages","Tue Sep 11 16:17:56 UTC 2012"
"2F84J3NAB6BFNTEOQU9T9TJFFPVSF1","zucchini","A1K9WP8Q74E9G2","Vegetables","A2HM35CWB7IIFM","Vegetables","Yes","Vegetables","Tue Sep 11 16:25:59 UTC 2012"
"2IFERSQV66RLQVHTVDMWIVKI8B53B3","mushroom and onion omelette","A2HAIY6HUOISQY","Meat and Protein","A2HM35CWB7IIFM","Meat and Protein","Yes","Meat and Protein","Tue Sep 11 16:27:59 UTC 2012"
"2HNBMJTUHYW2H7O9J6YSDWM18IGIN7","muajajajaja","A2BERTY629PZDT","Unknown","A2HM35CWB7IIFM","Unknown","Yes","Unknown ","Tue Sep 11 16:33:06 UTC 2012"
"2G4AZHHRRLFQ12MNNN81SHO9GP9ENU","grapes","A2HM35CWB7IIFM","Fruits","A3NU1SQPI1NXY4","Fruits","Yes","Fruits","Tue Sep 11 16:04:26 UTC 2012"
"25KGMMEGOOGQTQL6A6120EIUW3IBB2","salad","A2HM35CWB7IIFM","Vegetables","A6WUFL0T08JBZ","Vegetables","Yes","Vegetables","Tue Sep 11 16:53:26 UTC 2012"
"2W20COK2JE1M83JK1HIWEOZAE9LMTR","orange juice","A17B7QTKWFQ5PQ","Beverages","A2HAIY6HUOISQY","Beverages","Yes","Beverages","Tue Sep 11 16:58:37 UTC 2012"
"25ZOVR14IXKO3Z829A3WI6X30XU98R","raspberries","A2HAIY6HUOISQY","Fruits","A53VNQRRFQ785","Fruits","Yes","Fruits","Tue Sep 11 17:10:18 UTC 2012"
"2Z5MHGYQ4J3NBP5B7I6FWYYIVABNA8","sd","A2HAIY6HUOISQY","Unknown","A2HM35CWB7IIFM","Unknown","Yes","Unknown ","Tue Sep 11 16:29:18 UTC 2012"
"2AZV8ER9Y8TNLWLZKIWKNHS2QVHS5I","coffee","A2HAIY6HUOISQY","Beverages","A2HM35CWB7IIFM","Beverages","Yes","Beverages","Tue Sep 11 17:17:39 UTC 2012"
"2F736XBAT2D5O4XNXBUQ8JG5V7404Z","example","A1KAXCLAH6UVMS","Unknown","A2HM35CWB7IIFM","Unknown","Yes","Unknown ","Tue Sep 11 16:51:54 UTC 2012"
"20EKUDD8XMB3RH8ZS7XU1O6T6NDDOF","corn","A2HAIY6HUOISQY","Vegetables","A2HM35CWB7IIFM","Vegetables","Yes","Vegetables","Tue Sep 11 17:25:10 UTC 2012"
"2Y0T3HVWAVKI7GMJIYS7AZ99SQONFL","panela cheese","A1K9WP8Q74E9G2","Dairy","A2HM35CWB7IIFM","Dairy","Yes","Dairy","Tue Sep 11 16:31:51 UTC 2012"
"27D66RLPHIT3I9VANG96ANJQ4AP8GH","df","A2HAIY6HUOISQY","Unknown","A2HM35CWB7IIFM","Unknown","Yes","Unknown ","Tue Sep 11 16:14:32 UTC 2012"
"28RZJMJUNU8L0KQ7SCWRH8D8LCD0GM","water","A1K9WP8Q74E9G2","Beverages","A2HM35CWB7IIFM","Beverages","Yes","Beverages","Tue Sep 11 17:31:01 UTC 2012"
"2KZVWAVKI62NK411ZYQ9HQH6DT3IQU","melted cheese","A1K9WP8Q74E9G2","Dairy","A2HM35CWB7IIFM","Dairy","Yes","Dairy","Tue Sep 11 16:25:24 UTC 2012"
"2NVG67D1X3V0GYZCGGTJM1M7RT2BIB","carrot","A2HM35CWB7IIFM","Vegetables","A6WUFL0T08JBZ","Vegetables","Yes","Vegetables","Tue Sep 11 16:51:44 UTC 2012"
"20EKUDD8XMB3RH8ZS7XU1O6T6NDODQ","chicken","A2HM35CWB7IIFM","Meat and Protein","A2V3P1XE33NYC3","Meat and Protein","Yes","Meat and Protein","Tue Sep 11 16:31:29 UTC 2012"
"2TYJ2D21O3W5YVZJHLJIAKYERUAE86","leek","A2HM35CWB7IIFM","Vegetables","A2RPXVZF0CCRE4","Vegetables","Yes","Vegetables","Tue Sep 11 16:45:00 UTC 2012"
"2VVD2AC9KSSZWBW2I0WU2KQO0P50IE","water","A1K9WP8Q74E9G2","Beverages","A2HM35CWB7IIFM","Beverages","Yes","Beverages","Tue Sep 11 17:38:30 UTC 2012"
